CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
2/1/2020,8:45:00,7A,3500 W CATON AVE,AUTO THEFT,Inside,NA,835,SOUTHWEST,SAINT JOSEPHS,-76.67555132,39.28756151,RELIGIOUS INSTITUTI,1
2/1/2020,14:06:00,7A,1100 N BENTALOU ST,AUTO THEFT,Outside,NA,723,WESTERN,BRIDGEVIEW/GREENLAWN,-76.653529,39.30096463,STREET,1
2/1/2020,10:28:00,6C,3400 FREDERICK AVE,LARCENY,Inside,NA,835,SOUTHWEST,IRVINGTON,-76.67430838,39.28131968,RETAIL/SMALL BUSINES,1
2/1/2020,13:00:00,7A,2400 BELAIR RD,AUTO THEFT,Outside,NA,431,NORTHEAST,BELAIR-EDISON,-76.57846241,39.31737048,OTHER - OUTSIDE,1
2/1/2020,18:30:00,7A,1600 CHURCH ST,AUTO THEFT,Inside,NA,911,SOUTHERN,CURTIS BAY,-76.58714397,39.22311316,ROW/TOWNHOUSE-OCC,1
2/1/2020,23:20:00,7A,300 S BRUCE ST,AUTO THEFT,Outside,NA,935,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.64431159,39.28427438,PARKING LOT-OUTSIDE,1
2/1/2020,18:00:00,4C,300 MOUNT HOLLY ST,AGG. ASSAULT,Inside,OTHER,824,SOUTHWEST,ALLENDALE,-76.67951165,39.29087174,ROW/TOWNHOUSE-OCC,1
2/1/2020,22:30:00,6D,1300 W HAMBURG ST,LARCENY FROM AUTO,Outside,NA,932,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,-76.63248782,39.27813476,OTHER - OUTSIDE,1
2/1/2020,2:30:00,6D,1200 CLEVELAND ST,LARCENY FROM AUTO,Outside,NA,932,SOUTHERN,WASHINGTON VILLAGE,-76.63246467,39.28050173,STREET,1
2/1/2020,14:00:00,2A,PL & LAURENS ST,RAPE,Inside,OTHER,132,CENTRAL,,-76.6309815,39.307725,ROW/TOWNHOUSE-OCC,1
2/1/2020,23:28:00,4E,100 MARKET PL,COMMON ASSAULT,Outside,NA,112,CENTRAL,INNER HARBOR,-76.60690002,39.28757429,STREET,1
2/1/2020,1:03:00,4E,1700 N FULTON AVE,COMMON ASSAULT,Inside,NA,734,WESTERN,SANDTOWN-WINCHESTER,-76.64620581,39.30822604,ROW/TOWNHOUSE-OCC,1
2/1/2020,19:50:00,4E,600 FALLSWAY,COMMON ASSAULT,Outside,NA,324,EASTERN,PEN-FALLSWAY,-76.61031834,39.29713485,STREET,1
2/1/2020,11:11:00,4E,700 SAINT PAUL ST,COMMON ASSAULT,Inside,NA,124,CENTRAL,MOUNT VERNON,-76.6140538,39.2983921,HOTEL/MOTEL,1
2/1/2020,14:30:00,4E,1600 WAVERLY WAY,COMMON ASSAULT,Inside,NA,415,NORTHEAST,LOCH RAVEN,-76.58214669,39.36506802,APT/CONDO - OCCUPIED,1
2/1/2020,4:20:00,3K,3700 ERDMAN AVE,ROBBERY - RESIDENCE,Inside,NA,434,NORTHEAST,BELAIR-EDISON,-76.56909326,39.31637322,ROW/TOWNHOUSE-OCC,1
2/1/2020,23:00:00,6D,400 BRUNSWICK ST,LARCENY FROM AUTO,Outside,NA,834,SOUTHWEST,MILL HILL,-76.66001328,39.28031074,STREET,1
2/1/2020,1:30:00,6D,0 E PLEASANT ST,LARCENY FROM AUTO,Outside,NA,111,CENTRAL,DOWNTOWN,-76.61471859,39.29360047,BUS/AUTO,1
2/1/2020,22:00:00,4D,CALHOUN ST & MCHENRY ST,AGG. ASSAULT,Outside,HANDS,935,SOUTHERN,,-76.6393245,39.284505,STREET,1
2/1/2020,19:00:00,6D,2400 BELAIR RD,LARCENY FROM AUTO,Outside,NA,431,NORTHEAST,BELAIR-EDISON,-76.57846241,39.31737048,PARKING LOT-OUTSIDE,1
2/1/2020,1:45:00,4E,200 BEALE CT,COMMON ASSAULT,Inside,NA,212,SOUTHEAST,DUNBAR,-76.59558532,39.29485273,ROW/TOWNHOUSE-OCC,1
2/1/2020,1:45:00,4E,1500 E BIDDLE ST,COMMON ASSAULT,Inside,NA,314,EASTERN,OLIVER,-76.59708689,39.30426765,OTHER - INSIDE,1
2/1/2020,15:55:00,6C,3800 LIBERTY HEIGHTS AVE,LARCENY,Inside,NA,623,NORTHWEST,CALLAWAY-GARRISON,-76.68115491,39.32704598,DRUG STORE / MED BL,1
2/1/2020,3:00:00,3AK,4100 BRENDAN AVE,ROBBERY - STREET,Outside,KNIFE,432,NORTHEAST,BELAIR-EDISON,-76.56654017,39.31455664,STREET,1
2/1/2020,17:00:00,3AF,1400 E FAYETTE ST,ROBBERY - STREET,Outside,FIREARM,212,SOUTHEAST,WASHINGTON HILL,-76.59808773,39.29284253,STREET,1
2/1/2020,10:00:00,4E,1700 N PAYSON ST,COMMON ASSAULT,Inside,NA,735,WESTERN,EASTERWOOD,-76.64972532,39.30789305,ROW/TOWNHOUSE-OCC,1
2/1/2020,2:54:00,4E,1900 WHISTLER AVE,COMMON ASSAULT,Outside,NA,831,SOUTHWEST,MORRELL PARK,-76.65278332,39.2662766,ALLEY,1
2/1/2020,12:28:00,4E,200 STONECROFT RD,COMMON ASSAULT,Inside,NA,823,SOUTHWEST,WESTGATE,-76.70721859,39.28048217,APT/CONDO - OCCUPIED,1
2/1/2020,7:00:00,5B,1100 MONROE CIR,BURGLARY,Inside,NA,911,SOUTHERN,CURTIS BAY,-76.59251691,39.2312446,ROW/TOWNHOUSE-OCC,1
2/1/2020,23:30:00,7A,0 E LAFAYETTE AVE,AUTO THEFT,Outside,NA,134,CENTRAL,CHARLES NORTH,-76.61558327,39.30989587,STREET,1
2/1/2020,19:15:00,6D,3300 ABELL AVE,LARCENY FROM AUTO,Outside,NA,512,NORTHERN,OAKENSHAWE,-76.61212625,39.32846597,STREET,1
2/1/2020,14:06:00,6J,1200 LINDEN GR,LARCENY,Outside,NA,132,CENTRAL,BOLTON HILL,-76.62445777,39.30382879,STREET,1
2/1/2020,1:00:00,4E,2000 FLEET ST,COMMON ASSAULT,Outside,NA,213,SOUTHEAST,FELLS POINT,-76.58740897,39.28487849,PARKING LOT-OUTSIDE,1
2/1/2020,20:40:00,6D,300 N CHARLES ST,LARCENY FROM AUTO,Outside,NA,114,CENTRAL,DOWNTOWN,-76.6154245,39.29296995,STREET,1
2/1/2020,20:30:00,6D,1600 N BOND ST,LARCENY FROM AUTO,Outside,NA,314,EASTERN,OLIVER,-76.59691816,39.30876935,STREET,1
2/1/2020,0:30:00,6D,2000 N BENTALOU ST,LARCENY FROM AUTO,Outside,NA,731,WESTERN,MONDAWMIN,-76.65414603,39.31124112,STREET,1
2/1/2020,7:45:00,6G,1800 N CHARLES ST,LARCENY,Outside,NA,134,CENTRAL,CHARLES NORTH,-76.6164113,39.30985639,GAS STATION,1
2/1/2020,0:45:00,6G,1000 S CHARLES ST,LARCENY,Inside,NA,942,SOUTHERN,FEDERAL HILL/MONTGOM,-76.61433924,39.2772875,OTHER - INSIDE,1
